"id","slug","fieldPath","protectedContext","before","after"
"GB-1929-0005","bo-molenda-new-york-yankees-1929","qaNotes","false","Batch 011 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"GB-1929-0005","bo-molenda-new-york-yankees-1929","perspectives.0.qaNotes","false","Batch 011 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"GB-1936-0015","paul-miller-brooklyn-dodgers-1936","qaNotes","false","Batch 011 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"GB-1936-0015","paul-miller-brooklyn-dodgers-1936","perspectives.0.qaNotes","false","Batch 011 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"GB-1937-0017","bill-lee-a-brooklyn-dodgers-1937","qaNotes","false","Batch 011 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"GB-1937-0017","bill-lee-a-brooklyn-dodgers-1937","perspectives.0.qaNotes","false","Batch 011 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"PIT-1938-0007","rights-to-pat-mccarty-green-bay-packers-1938","perspectives.0.qaNotes","false","Batch 004 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"PIT-1938-0007","rights-to-pat-mccarty-green-bay-packers-1938","perspectives.1.qaNotes","false","Batch 004 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"PIT-1938-0007","rights-to-pat-mccarty-green-bay-packers-1938","qaNotes","false","Batch 004 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"PIT-1940-0017","bill-patterson-billy-patterson-chicago-bears-1940","perspectives.0.qaNotes","false","Batch 001 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"PIT-1940-0017","bill-patterson-billy-patterson-chicago-bears-1940","perspectives.1.qaNotes","false","Batch 001 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"PIT-1940-0017","bill-patterson-billy-patterson-chicago-bears-1940","qaNotes","false","Batch 001 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"CLE-1948-0004","not-specified-historical-record-unclear-baltimore-indianapolis-colts-1948-4","qaNotes","false","Batch 009 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"CLE-1948-0004","not-specified-historical-record-unclear-baltimore-indianapolis-colts-1948-4","perspectives.0.qaNotes","false","Batch 009 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"WAS-1950-0013","paul-lipscomb-green-bay-packers-1950","qaNotes","false","Batch 021 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"WAS-1950-0013","paul-lipscomb-green-bay-packers-1950","perspectives.0.qaNotes","false","Batch 021 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"WAS-1950-0013","paul-lipscomb-green-bay-packers-1950","perspectives.1.qaNotes","false","Batch 021 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"DET-1950-0025","bobby-layne-new-york-yanks-1950-08-04","qaNotes","false","Batch 010 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"DET-1950-0025","bobby-layne-new-york-yanks-1950-08-04","perspectives.0.qaNotes","false","Batch 010 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1950-0002","packard-harrington-cleveland-browns-1950","qaNotes","false","Batch 012 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1950-0002","packard-harrington-cleveland-browns-1950","perspectives.0.qaNotes","false","Batch 012 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1950-0002","packard-harrington-cleveland-browns-1950","perspectives.1.qaNotes","false","Batch 012 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1950-0003","gordon-soltau-gordy-soltau-gordie-soltau-cleveland-browns-1950","qaNotes","false","Batch 013 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1950-0003","gordon-soltau-gordy-soltau-gordie-soltau-cleveland-browns-1950","perspectives.0.qaNotes","false","Batch 013 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1950-0003","gordon-soltau-gordy-soltau-gordie-soltau-cleveland-browns-1950","perspectives.1.qaNotes","false","Batch 013 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1950-0004","howie-livingston-washington-redskins-commanders-1950","qaNotes","false","Batch 013 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1950-0004","howie-livingston-washington-redskins-commanders-1950","perspectives.0.qaNotes","false","Batch 013 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1950-0004","howie-livingston-washington-redskins-commanders-1950","perspectives.1.qaNotes","false","Batch 013 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1952-0006","1952-third-round-pick-27-gene-shannon-arizona-st-louis-cardinals-1952","qaNotes","false","Batch 013 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
"SF-1952-0006","1952-third-round-pick-27-gene-shannon-arizona-st-louis-cardinals-1952","perspectives.0.qaNotes","false","Batch 013 narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data."
