Trade ID,Date,League,Primary Team,Trade Partner,Wizards Received,Wizards Sent,Partner Received,Partner Sent,Wizards Outcome Synopsis,Partner Outcome Synopsis,Wizards Grade,Partner Grade,Confidence,Review Status,Source Raw Text,Review_Status_note,Cleanup Notes,Slug,Trade Tier,Publish Status,Final Audit / QA Notes
WAS-2023-0001,2023-07-06,NBA,Washington Wizards,Pistons,2027 second round pick (more favorable of Brooklyn and Dallas picks previously acquired by Detroit),Monte Morris,Monte Morris,2027 second round pick (more favorable of Brooklyn and Dallas),"Summary: Washington converted Monte Morris into a conditional 2027 second-round pick. Analysis: Morris was a useful veteran guard, but Washington was beginning a rebuild and turned an expiring, replaceable rotation player into future draft capital. The exact value of the pick remains unresolved, so the transaction remains neutral and provisional.","Summary: Pistons received Monte Morris and gave up 2027 second round pick (more favorable of Brooklyn and Dallas picks previously acquired by Detroit). Analysis: The aggregate partner side currently grades near even with Washington. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",C+,C+,Medium,Hold - Provisional,"2023-07-06	Wizards	• 2027 second round pick (more favorable of Mavericks, Nets picks) (?-?)	• Monte Morris	trade with Pistons","Recent, conditional, prospect-dependent, or unresolved; retained for audit and marked provisional.","Removed placeholder (?-?). Clarified pick is Nets and Mavs second that Detroit owned. Trade finalized July 6, 2023.",2027-second-round-pick-more-favorable-of-mavericks-nets-picks-pistons-2023-07-06,minor,Hold,Meta factual revision integrated. Grok narrative retained the preliminary grade and verdict. User approval remains pending; Publish Status stays Hold; no canonical import.
WAS-2024-0002,2024-01-14,NBA,Washington Wizards,Pistons,Marvin Bagley III; Isaiah Livers; 2025 second round pick (#47 Bogoljub Markovic); 2026 second round pick,Danilo Gallinari; Mike Muscala,Danilo Gallinari; Mike Muscala,Marvin Bagley III; Isaiah Livers; 2025 second round pick; 2026 second round pick,"Summary: Washington acquired two young players and two second-round picks for Danilo Gallinari and Mike Muscala. Analysis: The Wizards used expendable veterans to absorb Marvin Bagley III and Isaiah Livers while adding two draft assets, including the pick that became Bogoljub Markovic. The 2026 pick remains uncertain, but the asset gain clearly favors Washington.","Summary: Pistons received Danilo Gallinari; Mike Muscala and gave up Marvin Bagley III; Isaiah Livers; 2025 second round pick (#47 Bogoljub Markovic); 2026 second round pick. Analysis: The aggregate partner side gave up the stronger preliminary value. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",B+,C,Medium,Hold - Provisional,"2024-01-14	Wizards	• Marvin Bagley III
• Isaiah Livers
• 2025 second round pick (more favorable of Pistons, Warriors picks) (#47-Bogoljub Markovic)
• 2026 second round pick (less favorable of (a) more favorable of Knicks, Timberwolves pick and (b) more favorable of Blazers, Pelicans picks) (?-?)	• Danilo Gallinari
• Mike Muscala	trade with Pistons","Recent, conditional, prospect-dependent, or unresolved; retained for audit and marked provisional.",Simplified pick conditions. Official deal was Bagley/Livers + 2025 & 2026 seconds for Gallinari/Muscala. Removed convoluted 'more favorable of...' language and (?-?).,marvin-bagley-iii-pistons-2024-01-14,standard,Hold,Meta factual revision integrated. Grok narrative retained the preliminary grade and verdict. User approval remains pending; Publish Status stays Hold; no canonical import.
WAS-2024-0003,2024-02-08,NBA,Washington Wizards,Mavericks,Richaun Holmes; 2024 first round pick (#26 Dillon Jones – from Mavericks via Thunder),Daniel Gafford,Daniel Gafford,Richaun Holmes; 2024 first round pick (via Thunder),"Summary: Washington received Richaun Holmes and the first-round pick that became Dillon Jones for Daniel Gafford. Analysis: Gafford immediately became an important interior finisher and defender for Dallas during its 2024 Finals run, while Jones did not develop into comparable value and was later moved again. The first-round return was reasonable process, but the realized value strongly favors Dallas.","Summary: Mavericks received Daniel Gafford and gave up Richaun Holmes; 2024 first round pick (#26 Dillon Jones – from Mavericks via Thunder). Analysis: The aggregate partner side received the stronger preliminary value. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",C-,A-,High,Ready,"2024-02-08	Wizards	• Richaun Holmes
• 2024 first round pick (second least favorable of Clippers, Jazz, Rockets, Thunder picks) (#26-Dillon Jones)	• Daniel Gafford	trade with Mavericks",Outcome sufficiently mature for preliminary public-style review; still pending Meta/Grok audit.,"Corrected pick description: not 'second least favorable of Clippers, Jazz, Rockets, Thunder'. It was Dallas's 2024 first routed via OKC. #26 became Dillon Jones.",richaun-holmes-mavericks-2024-02-08,major,Hold,Meta factual revision integrated. Grok narrative retained the preliminary grade and verdict. User approval remains pending; Publish Status stays Hold; no canonical import.
WAS-2024-0004,2024-06-27,NBA,Washington Wizards,Knicks,Draft rights to Kyshawn George (#24),Draft rights to Dillon Jones (#26); Draft rights to Melvin Ajinca (#51),Draft rights to Dillon Jones (#26); Draft rights to Melvin Ajinca (#51),Draft rights to Kyshawn George (#24),"Summary: Washington consolidated the rights to Melvin Ajinca and Dillon Jones into Kyshawn George. Analysis: George has shown more two-way developmental upside than the outgoing rights package, making the trade an efficient consolidation of lesser assets into one stronger prospect. The grade remains provisional because George is still early in his career.","Summary: Knicks received Draft rights to Dillon Jones (#26); Draft rights to Melvin Ajinca (#51) and gave up Draft rights to Kyshawn George (#24). Analysis: The aggregate partner side gave up the stronger preliminary value. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",B+,C+,Medium,Hold - Provisional,"2024-06-27	Wizards	• rights to Kyshawn George	• rights to Melvin Ajinca
• rights to Dillon Jones	trade with Knicks","Recent, conditional, prospect-dependent, or unresolved; retained for audit and marked provisional.",Accurate. Knicks flipped Jones to Thunder for 5 seconds.,rights-to-kyshawn-george-knicks-2024-06-27,standard,Hold,Meta factual revision integrated. Grok narrative retained the preliminary grade and verdict. User approval remains pending; Publish Status stays Hold; no canonical import.
WAS-2024-0005,2024-07-06,NBA,Washington Wizards,Blazers,"Malcolm Brogdon; Draft rights to Carlton 'Bub' Carrington (#14); 2029 first round pick (second most favorable of Blazers, Bucks, Celtics); 2028 second round pick; 2030 second round pick",Deni Avdija,Deni Avdija,Malcolm Brogdon; Draft rights to Carlton 'Bub' Carrington; 2029 first round pick (second most favorable); 2028 second round pick; 2030 second round pick,"Summary: Washington traded Deni Avdija for Malcolm Brogdon, Bub Carrington, a future first-round pick and two seconds. Analysis: The package was substantial and Carrington has shown encouraging shooting development, but Avdija became an All-Star-level centerpiece in Portland while playing on a highly favorable contract. Washington may still recover value from Carrington and the 2029 first, yet the realized star leap currently gives Portland the clear advantage.","Summary: Blazers received Deni Avdija and gave up Malcolm Brogdon; Draft rights to Carlton 'Bub' Carrington (#14); 2029 first round pick (second most favorable of Blazers, Bucks, Celtics); 2028 second round pick; 2030 second round pick. Analysis: The aggregate partner side received the stronger preliminary value. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",C+,A-,Medium,Hold - Provisional,"2024-07-06	Wizards	• Malcolm Brogdon
• rights to Carlton Carrington / Bub Carrington
• 2028 second round pick (?-?)
• 2029 first round pick (second most favorable of Blazers, Bucks, Celtics picks) (?-?)
• 2030 second round pick (?-?)	• Deni Avdija	trade with Blazers","Recent, conditional, prospect-dependent, or unresolved; retained for audit and marked provisional.","Fixed name: Carlton Carrington / Bub Carrington -> Carlton 'Bub' Carrington. Removed (?-?) placeholders. Trade date June 27 2024 reported, completed July 6.",malcolm-brogdon-blazers-2024-07-06,major,Hold,Meta factual revision integrated. Grok narrative retained the preliminary grade and verdict. User approval remains pending; Publish Status stays Hold; no canonical import.
WAS-2024-0006,2024-07-06,NBA,Washington Wizards,Pelicans,Jonas Valanciunas (sign-and-trade),"2027 second round pick (from Bulls, protected 31-50)","2027 second round pick (Bulls, protected 31-50)",Jonas Valanciunas,"Summary: Washington acquired Jonas Valanciunas for one conditional 2027 second-round pick. Analysis: The Wizards obtained a credible starting center for minimal draft cost and later moved him for additional assets. Because the second-round obligation remains unresolved and Washington was not contending, the transaction is best held as neutral for now.","Summary: Pelicans received 2027 second round pick (from Bulls, protected 31-50) and gave up Jonas Valanciunas (sign-and-trade). Analysis: The aggregate partner side currently grades near even with Washington. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",C+,C+,Medium,Hold - Provisional,2024-07-06	Wizards	• Jonas Valanciunas	• 2027 second round pick (Bulls pick; originally protected top 50 but effectively removed with subsequent trade of pick back to Wizards) (?-?)	trade with Pelicans,"Recent, conditional, prospect-dependent, or unresolved; retained for audit and marked provisional.",Cleaned garbled note about protection being removed. Actual protection: Bulls pick 31-50.,jonas-valanciunas-pelicans-2024-07-06,minor,Hold,Meta factual revision integrated. Grok narrative retained the preliminary grade and verdict. User approval remains pending; Publish Status stays Hold; no canonical import.
WAS-2025-0007,2025-02-05,NBA,Washington Wizards,Kings,Sidy Cissoko; 2028 second round pick; 2029 second round pick,Jonas Valanciunas,Jonas Valanciunas,Sidy Cissoko; 2028 second round pick; 2029 second round pick,"Summary: Washington moved Jonas Valanciunas for Sidy Cissoko and two future second-round picks. Analysis: After acquiring Valanciunas cheaply, Washington converted the veteran into a young wing flier and two additional picks. The future selections are uncertain, but the transaction fits the rebuild and compounds value from the earlier acquisition.","Summary: Kings received Jonas Valanciunas and gave up Sidy Cissoko; 2028 second round pick; 2029 second round pick. Analysis: The aggregate partner side gave up the stronger preliminary value. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",B+,C,Medium,Hold - Provisional,"2025-02-05	Wizards	• Sidy Cissoko
• 2028 second round pick (Nuggets pick) (protected top 33) (?-?)
• 2029 second round pick (?-?)	• Jonas Valanciunas	trade with Kings","Recent, conditional, prospect-dependent, or unresolved; retained for audit and marked provisional.",Removed incorrect 'Nuggets pick protected top 33 (?-?)' – official return was Cissoko + two seconds.,sidy-cissoko-kings-2025-02-05,standard,Hold,Meta factual revision integrated. Grok narrative retained the preliminary grade and verdict. User approval remains pending; Publish Status stays Hold; no canonical import.
WAS-2025-0008,2025-02-06,NBA,Washington Wizards,76ers,"Reggie Jackson (waived); 2026 first round pick (least favorable of Clippers, Rockets top-4 protected, Thunder)",Jared Butler; 2027 second round pick (more favorable of Warriors and Suns); 2028 second round pick (Warriors); 2030 second round pick (more favorable of Blazers and Suns); 2030 second round pick (Wizards own),Jared Butler; 2027 second round pick (more favorable Warriors/Suns); 2028 second round pick (Warriors); 2030 second round pick (more favorable Blazers/Suns); 2030 second round pick (Wizards),Reggie Jackson; 2026 first round pick (least favorable Clippers/Rockets/Thunder),"Summary: Washington exchanged Jared Butler and four second-round picks for a 2026 first-round pick and Reggie Jackson. Analysis: Turning a cluster of seconds and a depth guard into a first-round asset is a strong consolidation move, even though the pick is the least favorable of several selections and Houston protection limits the ceiling. Jackson was largely salary ballast; the first-round conversion drives the grade.","Summary: 76ers received Jared Butler; 2027 second round pick (more favorable of Warriors and Suns); 2028 second round pick (Warriors); 2030 second round pick (more favorable of Blazers and Suns); 2030 second round pick (Wizards own) and gave up Reggie Jackson (waived); 2026 first round pick (least favorable of Clippers, Rockets top-4 protected, Thunder). Analysis: The aggregate partner side gave up the stronger preliminary value. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",A-,C,Medium,Hold - Provisional,"2025-02-06	Wizards	• Reggie Jackson
• 2026 first round pick (least favorable of Clippers, Rockets (protected top 4), Thunder picks) (?-?)	• Jared Butler
• 2027 second round pick (more favorable of Suns, Warriors picks) (?-?)
• 2028 second round pick (Warriors pick) (?-?)
• 2030 second round pick (more favorable of Blazers, Suns picks) (?-?)
• 2030 second round pick (?-?)	trade with 76ers","Recent, conditional, prospect-dependent, or unresolved; retained for audit and marked provisional.",Confirmed least favorable first is accurate. Expanded second descriptions per Reuters. Removed (?-?). Jackson waived by Wizards post-trade.,reggie-jackson-76ers-2025-02-06,standard,Hold,Meta factual revision integrated. Grok narrative retained the preliminary grade and verdict. User approval remains pending; Publish Status stays Hold; no canonical import.
WAS-2025-0009,2025-02-06,NBA,Washington Wizards,"Grizzlies, Kings",Marcus Smart; Colby Jones; Alex Len; 2025 first round pick (#18 Walter Clayton Jr.),Marvin Bagley III; Johnny Davis; 2025 second round pick (#48 Javon Small),Marvin Bagley III; Johnny Davis; 2025 second round pick (#48 Javon Small) and additional second-round compensation (Grizzlies/Kings routing),Marcus Smart; Colby Jones; Alex Len; 2025 first round pick (#18 Walter Clayton Jr.),"Summary: Washington acquired Marcus Smart, Colby Jones, Alex Len and the No. 18 pick for Marvin Bagley III, Johnny Davis and a second-round pick. Analysis: The Wizards upgraded a low-value outgoing package into a veteran guard, multiple playable pieces and a mid-first-round pick that became Walter Clayton Jr. Even with Smart's age and health risk, the draft-capital gain makes this a clear Washington win.","Summary: Grizzlies, Kings received Marvin Bagley III; Johnny Davis; 2025 second round pick (#48 Javon Small) and gave up Marcus Smart; Colby Jones; Alex Len; 2025 first round pick (#18 Walter Clayton Jr.). Analysis: The aggregate partner side gave up the stronger preliminary value. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",A-,C,Medium,Hold - Provisional,"2025-02-06	Wizards	• Marcus Smart
• Colby Jones
• Alex Len
• 2025 first round pick (from Grizzlies) (#18-Walter Clayton Jr.)	• Marvin Bagley III
• Johnny Davis (Christian)
• 2025 second round pick (#48-Javon Small)*	3-team trade with Grizzlies, Kings","Recent, conditional, prospect-dependent, or unresolved; retained for audit and marked provisional.",Fixed Johnny Davis (Christian) -> Johnny Davis. Three-team with Kings: Kings got Jake LaRavia + 2028 second from Grizzlies. Removed erroneous asterisk.,marcus-smart-grizzlies-kings-2025-02-06,major,Hold,Meta factual revision integrated. Grok narrative retained the preliminary grade and verdict. User approval remains pending; Publish Status stays Hold; no canonical import.
WAS-2025-0010,2025-02-06,NBA,Washington Wizards,"Bucks, Knicks, Spurs",Khris Middleton; AJ Johnson; 2028 first round pick swap rights (Wizards can swap own for least favorable of Bucks/Blazers),"Kyle Kuzma; Patrick Baldwin Jr.; 2025 second round pick (second most favorable of Pistons, Warriors, Suns)",Kyle Kuzma; Patrick Baldwin Jr.; 2025 second round pick,"Khris Middleton; AJ Johnson; 2028 first round pick swap rights; (Knicks sent Jericho Sims to Bucks, Delon Wright + cash to Knicks as part of larger transaction)","Summary: Washington traded Kyle Kuzma, Patrick Baldwin Jr. and a 2025 second-round pick for Khris Middleton, AJ Johnson and a 2028 first-round swap right. Analysis: The Wizards escaped Kuzma's longer contract while adding a young former first-rounder and a potentially useful swap right. Middleton's later movement limits his direct on-court value, but the flexibility and optionality make the package favorable. The official four-team structure and Feb. 6 completion date are confirmed.","Summary: Bucks, Knicks, Spurs received Kyle Kuzma; Patrick Baldwin Jr.; 2025 second round pick (second most favorable of Pistons, Warriors, Suns) and gave up Khris Middleton; AJ Johnson; 2028 first round pick swap rights (Wizards can swap own for least favorable of Bucks/Blazers). Analysis: The aggregate partner side gave up the stronger preliminary value. Meta revised the factual asset description, and Grok reported no material grade or verdict change.",B+,C+,Medium,Hold - Provisional,"2025-02-06	Wizards	• Khris Middleton
• A.J. Johnson
• rights to Mathias Lessort
• Wizards option to swap 2028 first round pick (Wizards pick) with Bucks (least favorable of Blazers, Bucks picks) (?-?)**	• Kyle Kuzma
• Patrick Baldwin Jr.
• 2025 second round pick (second most favorable of Pistons, Suns, Warriors picks) (#47-Bogoljub Markovic)
• Wizards option to swap 2028 first round pick (Wizards pick) with Bucks (least favorable of Blazers, Bucks picks) (?-?)**	4-team trade with Bucks, Knicks, Spurs","Recent, conditional, prospect-dependent, or unresolved; retained for audit and marked provisional.","Official NBA tracker confirms a Feb. 6, 2025 four-team transaction involving the Wizards, Bucks, Knicks and Spurs. The framework was reported Feb. 5. Removed fictitious Mathias Lessort rights, the duplicated swap representation and the incorrect Bogoljub Markovic attribution.",khris-middleton-bucks-knicks-spurs-2025-02-06,major,Hold,"Meta and Grok grade/verdict review retained. OFFICIAL-SOURCE RECONCILIATION RESOLVED: Official NBA records classify this as one four-team trade completed on February 6, 2025, involving Washington, Milwaukee, New York and San Antonio. The reported framework emerged February 5, but the canonical completion date is February 6. Canonical data is ready for a guarded candidate preview. Publish Status remains Hold; no canonical import has occurred. Source: https://www.nba.com/news/2024-25-nba-trade-tracker"
