"classification","id","slug","title","fieldPath","protectedContext","matches","snippets","value"
"cleanup_artifact_candidate","RAM-1959-0078","ollie-matson-arizona-st-louis-cardinals-1959","","qaNotes","false","batch","ublic prose, verdict, grades, and nested perspective data. | Landmark expanded sectioned deep-dive content applied. | Landmark running back batch top-off added to clear premium threshold.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data. | Landmark expanded sectioned deep-dive content applied. | Landmark running back batch top-off added to clear premium threshold."
"cleanup_artifact_candidate","NO-1984-0210","saints-1984-10-09-houston-oilers-tennessee-titans-earl-campbell","","qaNotes","false","batch","rst-round-pick-11-richard-johnson-new-orleans-saints-1984. | Landmark expanded sectioned deep-dive content applied. | Landmark running back batch top-off added to clear premium threshold.","The Earl Campbell trade chased a name-brand back after his prime and cost first-round capital that New Orleans could not afford to waste | The Earl Campbell trade chased a name-brand back after his prime and cost first-round capital that New Orleans could not afford to waste. Retained as canonical keeper for suppressed same-date/team duplicate 1985-first-round-pick-11-richard-johnson-new-orleans-saints-1984. | Landmark expanded sectioned deep-dive content applied. | Landmark running back batch top-off added to clear premium threshold."
"cleanup_artifact_candidate","WAS-1985-0294","george-rogers-washington-new-orleans-saints-1985","","qaNotes","false","batch","ublic prose, verdict, grades, and nested perspective data. | Landmark expanded sectioned deep-dive content applied. | Landmark running back batch top-off added to clear premium threshold.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data. | Landmark expanded sectioned deep-dive content applied. | Landmark running back batch top-off added to clear premium threshold."
"cleanup_artifact_candidate","SEA-1991-04-21-0081","1991-second-round-pick-51-doug-thomas-savoy-las-vegas-raiders-1991","","perspectives.[0].qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","SEA-1991-04-21-0081","1991-second-round-pick-51-doug-thomas-savoy-las-vegas-raiders-1991","","perspectives.[1].qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","SEA-1991-04-21-0081","1991-second-round-pick-51-doug-thomas-savoy-las-vegas-raiders-1991","","qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0167","1998-1st-round-pick-29th-overall-packers-1998","","assetsReceived.miami-dolphins.[1].asset","true","Batch","1998 2nd round pick (60th overall subsequently traded, Charlie Batch)","1998 2nd round pick (60th overall subsequently traded, Charlie Batch)"
"mixed_protected_name_plus_possible_artifact","MIA-1998-0167","1998-1st-round-pick-29th-overall-packers-1998","","summary","true","Batch","Miami Dolphins acquired 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch) from Green Bay Packers for 1998 1st round pick (19th overall, Vonnie Holliday). Miami Dolphins received the stronger recorded footbal","Miami Dolphins acquired 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch) from Green Bay Packers for 1998 1st round pick (19th overall, Vonnie Holliday). Miami Dolphins received the stronger recorded football value, matching the Miami Dolphins Win verdict."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0167","1998-1st-round-pick-29th-overall-packers-1998","","partnerSummary","true","Batch","nie Holliday) and gave up 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch). The overall return favors Miami Dolphins.","Green Bay Packers received 1998 1st round pick (19th overall, Vonnie Holliday) and gave up 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch). The overall return favors Miami Dolphins."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0167","1998-1st-round-pick-29th-overall-packers-1998","","perspectives.[0].primarySummary","true","Batch","Miami Dolphins acquired 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch) from Green Bay Packers for 1998 1st round pick (19th overall, Vonnie Holliday). Miami Dolphins received the stronger recorded footbal","Miami Dolphins acquired 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch) from Green Bay Packers for 1998 1st round pick (19th overall, Vonnie Holliday). Miami Dolphins received the stronger recorded football value, matching the Miami Dolphins Win verdict."
