activeBucket,refinedBucket,issue,slug,field,topVerdict,teamGrades,activeVerdict,activeTeamGrades,reason,flagSnippet,activeFieldText
likely-stale-or-resolved-in-active-file,manual-even-vs-win-review,VERDICT_SAYS_EVEN_TEXT_SAYS_TEAM_WIN,2015-5th-round-pick-146th-overall-stefon-diggs-atlanta-falcons-2015,summary,Even Trade,minnesota-vikings:A | atlanta-falcons:A,Even Trade,minnesota-vikings:A | atlanta-falcons:A,Active trade no longer contains obvious win/edge language in the flagged field.,"Minnesota acquired 2015 5th round pick (146th overall, Stefon Diggs) and 2015 6th round pick (185th overall, Tyrus Thompson) from Atlanta Falcons for 2015 5th round pick (137th overall, Grady Jarrett). This is a rare fifth-round win-win with no real loser. Min","Minnesota Vikings and Atlanta Falcons land in even-trade territory. The final grade profile (Minnesota Vikings A, Atlanta Falcons A) shows useful value on both sides without enough separation for a clear winner."
likely-stale-or-resolved-in-active-file,manual-even-vs-win-review,VERDICT_SAYS_EVEN_TEXT_SAYS_TEAM_WIN,don-brown-a-arizona-st-louis-cardinals-1960,partnerSummary,Even Trade,green-bay-packers:C | arizona-cardinals:C,Even Trade,green-bay-packers:C+ | arizona-cardinals:C+,Active trade no longer contains obvious win/edge language in the flagged field.,Green Bay Packers received Don Brown (a) and gave up undisclosed draft pick (?-?). Partner Partner Win because Arizona's outgoing side carried the clearer value. The partner grade mirrors the Cardinals loss while preserving the same evidence standard,"Arizona/St. Louis Cardinals received an undisclosed draft pick and gave up Don Brown (a). The available record points to a balanced, low-leverage exchange without enough separation for a directional winner."
likely-stale-or-resolved-in-active-file,manual-even-vs-win-review,VERDICT_SAYS_EVEN_TEXT_SAYS_TEAM_WIN,henry-reed-new-york-giants-1975,analysis,Even Trade,denver-broncos:C | new-york-giants:C,Even Trade,denver-broncos:C | new-york-giants:C,Active trade no longer contains obvious win/edge language in the flagged field.,"Denver acquired Henry Reed from New York Giants for Greg Marx. Denver swapped Greg Marx for Henry Reed, a direct player-value trade with limited evidence of a major long-term swing. The grades remain modest because the available record supports a useful roster","Denver acquired Henry Reed from New York Giants for Greg Marx. Denver swapped Greg Marx for Henry Reed, a direct player-value trade with limited evidence of a major long-term swing. The grades remain modest because the available record supports a useful roster exchange, not a clear franchise-changing outcome. New York Giants received Greg Marx and gave up Henry Reed"
likely-stale-or-resolved-in-active-file,manual-even-vs-win-review,VERDICT_SAYS_EVEN_TEXT_SAYS_TEAM_WIN,jim-germany-arizona-st-louis-cardinals-1975,partnerSummary,Even Trade,green-bay-packers:C | arizona-cardinals:C,Even Trade,green-bay-packers:C+ | arizona-cardinals:C+,Active trade no longer contains obvious win/edge language in the flagged field.,Green Bay Packers received Jim Germany and gave up conditional draft pick (?-?). Partner Partner Win because Arizona's outgoing side carried the clearer value. The partner grade mirrors the Cardinals loss while preserving the same evidence standard,"Arizona/St. Louis Cardinals received a conditional draft pick and gave up Jim Germany. The available record points to a balanced, low-leverage exchange without enough separation for a directional winner."
likely-stale-or-resolved-in-active-file,manual-even-vs-win-review,VERDICT_SAYS_EVEN_TEXT_SAYS_TEAM_WIN,jim-whalen-new-england-patriots-1970,analysis,Even Trade,denver-broncos:C | new-england-patriots:C,Even Trade,denver-broncos:C | new-england-patriots:C,Active trade no longer contains obvious win/edge language in the flagged field.,"Denver acquired Jim Whalen from New England Patriots for Tom Beer (John). Denver swapped Tom Beer (John) for Jim Whalen, a direct player-value trade with limited evidence of a major long-term swing. The grades remain modest because the available record support","New England Patriots received Tom Beer (John) and gave up Jim Whalen The even verdict reflects a low-separation exchange where the recorded player, pick, cash, or rights value does not create clear long-term separation."
likely-stale-or-resolved-in-active-file,manual-even-vs-win-review,VERDICT_SAYS_EVEN_TEXT_SAYS_TEAM_WIN,larry-hickman-arizona-st-louis-cardinals-1960,partnerSummary,Even Trade,green-bay-packers:C | arizona-cardinals:C,Even Trade,green-bay-packers:C+ | arizona-cardinals:C+,Active trade no longer contains obvious win/edge language in the flagged field.,Green Bay Packers received Larry Hickman and gave up conditional draft pick (?-?). Partner Partner Win because Arizona's outgoing side carried the clearer value. The partner grade mirrors the Cardinals loss while preserving the same evidence standard,"Arizona/St. Louis Cardinals received a conditional draft pick and gave up Larry Hickman. The available record points to a balanced, low-leverage exchange without enough separation for a directional winner."
likely-stale-or-resolved-in-active-file,manual-even-vs-win-review,VERDICT_SAYS_EVEN_TEXT_SAYS_TEAM_WIN,mike-williams-new-york-jets-2024,summary,Even Trade,new-york-jets:C | pittsburgh-steelers:C,Even Trade,new-york-jets:C+ | pittsburgh-steelers:C+,Active trade no longer contains obvious win/edge language in the flagged field.,Pittsburgh traded a fifth-round pick to the Jets for receiver Mike Williams. Williams was injury-prone and contributed minimally before departing in free agency. Mike Williams had legitimate big-play ability but his chronic knee issues limited his effectivenes,"Pittsburgh Steelers acquired Mike Williams from New York Jets for 2025 5th round pick (162nd overall, Francisco Mauigoa). The available record does not show enough separation to call a clear long-term winner."
likely-stale-or-resolved-in-active-file,manual-even-vs-win-review,VERDICT_SAYS_EVEN_TEXT_SAYS_TEAM_WIN,undisclosed-draft-pick-tampa-bay-buccaneers-1977,analysis,Even Trade,los-angeles-rams:C | tampa-bay-buccaneers:C,Even Trade,los-angeles-rams:C | tampa-bay-buccaneers:C,Active trade no longer contains obvious win/edge language in the flagged field.,"Los Angeles/Cleveland/St. Louis Rams acquired undisclosed draft pick (?-?) from Tampa Bay Buccaneers for Jack Reynolds. This grades as close to even or administrative because the exchange was balanced, uncertain, reversed, conditional, or too minor to justify","Los Angeles/Cleveland/St. Louis Rams acquired undisclosed draft pick (?-?) from Tampa Bay Buccaneers for Jack Reynolds. This grades as close to even or administrative because the exchange was balanced, uncertain, reversed, conditional, or too minor to justify a directional win. Tampa Bay Buccaneers received Jack Reynolds and gave up undisclosed draft pick (?-?). The partner grade reflects a balanced, minor, or unresolved exchange."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,1984-first-round-pick-28-brian-blados-las-vegas-raiders-1983,analysis,Las Vegas Raiders Win,las-vegas-raiders:A | new-england-patriots:D,Las Vegas Raiders Win,las-vegas-raiders:A | new-england-patriots:D,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,Why the Raiders Made the Trade The Raiders made this move because Mike Haynes was a rare chance to add a Hall of Fame-level cornerback to a roster that was already built to win. This was not a speculative trade. Haynes had already proven he could play at an el,"Why the Raiders Made the Trade The Raiders made this move because Mike Haynes was a rare chance to add a Hall of Fame-level cornerback to a roster that was already built to win. This was not a speculative trade. Haynes had already proven he could play at an elite level, and the Raiders had a championship window ready for him. That mattered because elite cornerback play is one of the hardest things to find. The Raiders were not buying an average veteran. They were adding a true difference-maker to a defense that ..."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,1996-1st-round-pick-6th-overall-lawrence-phillips-washington-redskins-1996,analysis,Washington Commanders Win,washington-commanders:A | los-angeles-rams:F,Washington Commanders Win,washington-commanders:A | los-angeles-rams:F,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,Why the Rams Made the Trade The Rams made this move because the No. 6 pick in the 1996 draft gave them a chance to add a premium young player. Trading Sean Gilbert for that kind of pick can be defended in theory. A top-six selection should give a team access t,"Why the Rams Made the Trade The Rams made this move because the No. 6 pick in the 1996 draft gave them a chance to add a premium young player. Trading Sean Gilbert for that kind of pick can be defended in theory. A top-six selection should give a team access to a cornerstone. That mattered because running back Lawrence Phillips was viewed as a major talent. The Rams were betting that the upside would outweigh the risk. If Phillips had become a star, the trade would have looked very different. What Washington Act..."
