"id","slug","fieldPath","before","after"
"RAM-1959-0078","ollie-matson-arizona-st-louis-cardinals-1959","qaNotes","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data. | Landmark expanded sectioned deep-dive content applied. | Landmark running back batch top-off added to clear premium threshold.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data. | Landmark expanded sectioned deep-dive content applied. | Landmark running back top-off added to clear premium threshold."
"NO-1984-0210","saints-1984-10-09-houston-oilers-tennessee-titans-earl-campbell","qaNotes","The Earl Campbell trade chased a name-brand back after his prime and cost first-round capital that New Orleans could not afford to waste | The Earl Campbell trade chased a name-brand back after his prime and cost first-round capital that New Orleans could not afford to waste. Retained as canonical keeper for suppressed same-date/team duplicate 1985-first-round-pick-11-richard-johnson-new-orleans-saints-1984. | Landmark expanded sectioned deep-dive content applied. | Landmark running back batch top-off added to clear premium threshold.","The Earl Campbell trade chased a name-brand back after his prime and cost first-round capital that New Orleans could not afford to waste | The Earl Campbell trade chased a name-brand back after his prime and cost first-round capital that New Orleans could not afford to waste. Retained as canonical keeper for suppressed same-date/team duplicate 1985-first-round-pick-11-richard-johnson-new-orleans-saints-1984. | Landmark expanded sectioned deep-dive content applied. | Landmark running back top-off added to clear premium threshold."
"WAS-1985-0294","george-rogers-washington-new-orleans-saints-1985","qaNotes","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data. | Landmark expanded sectioned deep-dive content applied. | Landmark running back batch top-off added to clear premium threshold.","review narrative-vs-verdict review reconciled public prose, verdict, grades, and nested perspective data. | Landmark expanded sectioned deep-dive content applied. | Landmark running back top-off added to clear premium threshold."
"SEA-1991-04-21-0081","1991-second-round-pick-51-doug-thomas-savoy-las-vegas-raiders-1991","perspectives.0.qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"SEA-1991-04-21-0081","1991-second-round-pick-51-doug-thomas-savoy-las-vegas-raiders-1991","perspectives.1.qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"SEA-1991-04-21-0081","1991-second-round-pick-51-doug-thomas-savoy-las-vegas-raiders-1991","qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"SEA-2000-04-16-0112","2001-6th-round-pick-191st-overall-subsequently-tr-las-vegas-raiders-2000","perspectives.0.qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"SEA-2000-04-16-0112","2001-6th-round-pick-191st-overall-subsequently-tr-las-vegas-raiders-2000","perspectives.1.qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"SEA-2000-04-16-0112","2001-6th-round-pick-191st-overall-subsequently-tr-las-vegas-raiders-2000","qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"CAR-2004-0025","panthers-san-francisco-49ers-trade-2004-0025","qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"CAR-2004-0025","panthers-san-francisco-49ers-trade-2004-0025","perspectives.0.qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"CAR-2004-0025","panthers-san-francisco-49ers-trade-2004-0025","perspectives.1.qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"PHI-2014-0372","eagles-2014-05-09-cleveland-browns-0372","qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"PHI-2014-0372","eagles-2014-05-09-cleveland-browns-0372","perspectives.0.qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"PHI-2014-0372","eagles-2014-05-09-cleveland-browns-0372","perspectives.1.qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"PIT-2024-0387","preston-smith-green-bay-packers-2024","qaNotes","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
