index,slug,id,date,verdict,teams,matchedTerms,title,summary
164,eagles-1952-04-29-arizona-st-louis-cardinals-0021,PHI-1952-0021,,Philadelphia Eagles Win,"[""arizona-cardinals"",""philadelphia-eagles""]",ramsey,(missing),Philadelphia acquired Tom Wham; Knox Ramsey from Arizona/St. Louis Cardinals for rights to Chuck Ulrich; draft pick (possibly 1953 #70-Tom Higgins).
165,garrard-ramsey-buster-ramsey-assistant-coach-arizona-st-louis-cardinals-1952-05,DET-1952-0033,,Even Trade,"[""arizona-cardinals"",""detroit-lions""]",ramsey,(missing),Detroit acquired Garrard Ramsey / Buster Ramsey (assistant coach) from Arizona/St. Louis Cardinals for Jerry Krall / Gerry Krall?. The available record points to a balanced or unresolved exchange rather than a clear steal.
1011,kent-kramer-new-orleans-saints-1968,RAM-1968-0153,,Even Trade,"[""los-angeles-rams"",""new-orleans-saints""]",ramsey,(missing),"New Orleans acquired 1970 fifth round pick (#126-Steve Ramsey) from Los Angeles Rams / St. Louis Rams for Kent Kramer. New Orleans received 1970 fifth round pick (#126-Steve Ramsey) and sent Kent Kramer. The standard profile, available production record, and medium confidence level supports a conservative grade"
1307,steve-ramsey-new-orleans-saints-1971,DEN-1971-05-07-0074,,Even Trade,"[""denver-broncos"",""new-orleans-saints""]",ramsey,(missing),"Denver acquired Steve Ramsey from New Orleans Saints for 1972 fourth round pick (#83-Tim Kearney). Denver paid draft capital for Steve Ramsey, making this a targeted personnel acquisition instead of a pure pick shuffle. The Broncos grade reflects the balance between immediate roster help and the opportunity cost of the pick sent to New Orleans Saints"
1708,eagles-1973-09-10-new-england-patriots-0158,PHI-1973-0158,,New England Patriots Win,"[""new-england-patriots"",""philadelphia-eagles""]",ramsey,(missing),Philadelphia acquired Dennis Wirgowski from New England Patriots for 1974 sixth round pick (#141-Chuck Ramsey).
2125,craig-morton-new-york-giants-1977,DEN-1977-03-07-0151,,Denver Broncos Win,"[""denver-broncos"",""new-york-giants""]",ramsey,(missing),"Denver acquired Craig Morton from the Giants for Steve Ramsey and a fifth-round pick, adding the veteran quarterback who helped lead the Broncos to their first Super Bowl appearance. Morton's arrival changed Denver's immediate ceiling. Within ten months, he helped guide the Broncos to their first Super Bowl appearance, giving the Orange Crush defense enough veteran quarterback stability to turn a strong roster into an AFC champion. Before John Elway, this was arguably the most impactful single-season quarterback acquisition in Broncos history"
2655,don-hasselbeck-new-england-patriots-1983,RAI-1983-0188,,Even Trade,"[""las-vegas-raiders"",""new-england-patriots""]",ramsey,(missing),Las Vegas Raiders acquired Don Hasselbeck from New England Patriots for Derrick Ramsey. The available record does not show enough separation to call a clear long-term winner.
2930,derrick-ramsey-baltimore-indianapolis-colts-1987-09-01,DET-1987-0264,,Detroit Lions Win,"[""detroit-lions"",""indianapolis-colts""]",ramsey,(missing),"Detroit Lions acquired Derrick Ramsey from Indianapolis Colts for 1988 twelfth round pick (#308-Aaron Kenney). Detroit Lions received the stronger recorded football value, matching the Detroit Lions Win verdict."
3682,2002-1st-round-pick-32nd-overall-patrick-ramsey-2002-3rd-round-pick-96th-overall-subsequen,WAS-2002-0369,,New England Patriots Win,"[""new-england-patriots"",""washington-commanders""]",ramsey,(missing),"Washington Commanders acquired 2002 1st round pick (32nd overall, Patrick Ramsey), 2002 3rd round pick (96th overall subsequently traded, Dorsett Davis) and 2002 7th round pick (234th overall, Greg Scott) from New England Patriots for 2002 1st round pick (21st overall, Daniel Graham). The overall result favors New England Patriots over Washington Commanders."
3875,patrick-ramsey-washington-commanders-redskins-2006,NYJ-2006-0196,,New York Jets Win,"[""new-york-jets"",""washington-commanders""]",ramsey,(missing),"New York Jets acquired Patrick Ramsey from Washington Commanders for 2006 6th round pick (173rd overall, Reed Doughty). New York Jets received the stronger recorded football value, matching the New York Jets Win verdict."
4032,2008-3rd-round-pick-66th-overall-lions-2008,MIA-2008-0223,,Miami Dolphins Win,"[""detroit-lions"",""miami-dolphins""]",jalen,(missing),"Miami Dolphins acquired 2008 3rd round pick (66th overall, Kendall Langford) and 2008 6th round pick (176th overall, Jalen Parmele) from Detroit Lions for 2008 3rd round pick (64th overall, Kevin Smith). Miami Dolphins received the stronger recorded football value, matching the Miami Dolphins Win verdict."
4309,panthers-san-francisco-49ers-trade-2012-0050,CAR-2012-0050,,Carolina Panthers Win,"[""carolina-panthers"",""san-francisco-49ers""]",ramsey,(missing),"Colin Jones played eight seasons as a special-teams ace and backup safety, appearing in 115 games and becoming one of the best coverage players on Ron Rivera's rosters"
4327,darrelle-revis-new-york-jets-2013,TB-2013-0223,,New York Jets Win,"[""new-york-jets"",""tampa-bay-buccaneers""]",jalen,(missing),"The Jets traded Darrelle Revis to Tampa Bay for the No. 13 pick in the 2013 draft and later pick value, turning an injured star cornerback with contract tension into Sheldon Richardson. Revis still made a Pro Bowl with the Buccaneers, but Tampa Bay went nowhere and moved on after one season. New York got the stronger asset result and avoided the contract trap."
4469,2016-1st-round-pick-1st-overall-jared-goff-2016-4th-round-pick-113th-overall-sub,RAM-2016-0479,,Tennessee Titans Win,"[""los-angeles-rams"",""tennessee-titans""]",jonnu smith,(missing),"Tennessee Titans come out ahead in this trade. The final grade profile (Los Angeles Rams C+, Tennessee Titans A-) supports the existing verdict and gives the winning side the cleaner value result."
4537,2017-3rd-round-pick-83rd-overall-derek-rivers-and-2017-4th-round-pick-124th-overall-subseq,NE-2017-0374,,New England Patriots Win,"[""new-england-patriots"",""tennessee-titans""]",jalen,(missing),"New England Patriots acquired 2017 3rd round pick (83rd overall, Derek Rivers) and 2017 4th round pick (124th overall subsequently traded, Jalen Reeves-Maybin) from Tennessee Titans for 2017 3rd round pick (72nd overall, Taywan Taylor) and 2017 6th round pick (200th overall subsequently traded, Adam Bisnowaty). New England Patriots received the stronger recorded football value, matching the New England Patriots Win verdict."
4538,2017-3rd-round-pick-85th-overall-antonio-garcia-detroit-lions-2017,NE-2017-0375,,Detroit Lions Win,"[""detroit-lions"",""new-england-patriots""]",jalen,(missing),"New England Patriots acquired 2017 3rd round pick (85th overall, Antonio Garcia) from Detroit Lions for 2017 3rd round pick (96th overall, Kenny Golladay) and 2017 4th round pick (124th overall, Jalen Reeves-Maybin). The overall result favors Detroit Lions over New England Patriots."
4777,minkah-fitzpatrick-2020-4th-round-pick-135th-overall-kevin-dotson-miami-dolphins-2019,PIT-2019-0366,,Pittsburgh Steelers Win,"[""miami-dolphins"",""pittsburgh-steelers""]",minkah fitzpatrick,(missing),"Pittsburgh bought an All-Pro safety at age 22 for a first-round pick and modest extra draft value. Minkah Fitzpatrick immediately changed the Steelers defense, became one of the NFL's premier safeties, and gave Pittsburgh the kind of young blue-chip defender teams almost never acquire in September. Miami received Austin Jackson and smaller pick value, but the return never approached Fitzpatrick's impact. This was a clear Steelers win."
