"ordinal","reviewClass","lane","id","team","slug","assetIndex","assetType","splitMode","reason","before","splitParts","existingPartMatches","projectedPartsToCreate","projectedNetAssetChange","warnings","originalRisks"
"1","manual","CDEL_manual_split_parts_not_all_strict_single_picks","RAI-1988-0227","washington-commanders","jay-schroeder-washington-commanders-redskins-1988","1","pick","all","one or more split parts is not a strict single-pick asset","1989 third round pick or 1989 fourth round pick and 1989 fifth round pick (Raiders option) (probably #110-Erik Affholter) (probably #139-Lybrant Robinson)","1989 third round pick or 1989 fourth round pick || 1989 fifth round pick (Raiders option) (probably #110-Erik Affholter) (probably #139-Lybrant Robinson)","","2","1","","or_word|explanatory_or_contingent"
"2","manual","CDEL_manual_original_has_transaction_or_sentence_context","NYJ-1994-0154","new-york-jets","ronald-moore-1995-1st-round-pick-16th-overall-hugh-douglas-and-1995-4th-round-pick-106th-o","0","pick","all","original text risks: word_glued_after_parenthetical","Ronald Moore, 1995 1st round pick (16th overall, Hugh Douglas) and 1995 4th round pick (106th overall, Melvin Hayes)","Ronald Moore || 1995 1st round pick (16th overall, Hugh Douglas) || 1995 4th round pick (106th overall, Melvin Hayes)","","3","2","","word_glued_after_parenthetical"
"3","manual","CDEL_manual_original_has_transaction_or_sentence_context","MIA-1994-0152","arizona-cardinals","1994-2nd-round-pick-65th-overall-cardinals-1994","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1994 3rd round pick (89th overall, Eric England), 1994 4th round pick (115th overall, Terry Irving) and 1994 4th round pick (121st overall subsequently traded, John Burke)","1994 3rd round pick (89th overall, Eric England) || 1994 4th round pick (115th overall, Terry Irving) || 1994 4th round pick (121st overall subsequently traded, John Burke)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"4","manual","CDEL_manual_original_has_transaction_or_sentence_context","RAM-1994-0392","los-angeles-rams","1994-1st-round-pick-15th-overall-wayne-gandy-1994-2nd-round-pick-56th-overall-br","0","pick","all","original text risks: word_glued_after_parenthetical","1994 1st round pick (15th overall, Wayne Gandy), 1994 2nd round pick (56th overall, Brad Ottis) and 1994 3rd round pick (100th overall, Ernest Jones)","1994 1st round pick (15th overall, Wayne Gandy) || 1994 2nd round pick (56th overall, Brad Ottis) || 1994 3rd round pick (100th overall, Ernest Jones)","","3","2","","word_glued_after_parenthetical"
"5","manual","CDEL_manual_original_has_transaction_or_sentence_context","SF-1994-0285","green-bay-packers","1994-2nd-round-pick-53rd-overall-kevin-mitchell-green-bay-packers-1994","0","pick","all","original text risks: word_glued_after_parenthetical","1994 3rd round pick (84th overall, LeShon Johnson), 1994 5th round pick (149th overall, Dorsey Levens) and 1994 6th round pick (175th overall, Ruffin Hamilton)","1994 3rd round pick (84th overall, LeShon Johnson) || 1994 5th round pick (149th overall, Dorsey Levens) || 1994 6th round pick (175th overall, Ruffin Hamilton)","","3","2","","word_glued_after_parenthetical"
"6","manual","CDEL_manual_original_has_transaction_or_sentence_context","LAC-1995-0318","los-angeles-chargers","1995-2nd-round-pick-34th-overall-terrance-shaw-1995-3rd-round-pick-98th-overall","0","pick","all","original text risks: word_glued_after_parenthetical","1995 2nd round pick (34th overall, Terrance Shaw), 1995 3rd round pick (98th overall, Preston Harrison) and 1995 4th round pick (100th overall, Chris Cowart)","1995 2nd round pick (34th overall, Terrance Shaw) || 1995 3rd round pick (98th overall, Preston Harrison) || 1995 4th round pick (100th overall, Chris Cowart)","","3","2","","word_glued_after_parenthetical"
"7","manual","CDEL_manual_original_has_transaction_or_sentence_context","SF-1995-0288","cleveland-browns","1995-1st-round-pick-10th-overall-j-j-stokes-traded-1996-1st-round-p-cleveland-browns-1995","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1995 1st round pick (30th overall, Craig Powell), 1995 3rd round pick (94th overall, Mike Frederick) and 1995 4th round pick (119th overall subsequently traded, Dave Barr)","1995 1st round pick (30th overall, Craig Powell) || 1995 3rd round pick (94th overall, Mike Frederick) || 1995 4th round pick (119th overall subsequently traded, Dave Barr)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"8","manual","CDEL_manual_original_has_transaction_or_sentence_context","TB-1995-0155","tampa-bay-buccaneers","1995-1st-round-pick-12th-overall-philadelphia-eagles-1995","3","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1995 1st round pick (12th overall, Warren Sapp), 1995 2nd round pick (43rd overall, Melvin Johnson) and 1995 2nd round pick (63rd overall subsequently traded, Shane Hannah)","1995 1st round pick (12th overall, Warren Sapp) || 1995 2nd round pick (43rd overall, Melvin Johnson) || 1995 2nd round pick (63rd overall subsequently traded, Shane Hannah)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"9","manual","CDEL_manual_original_has_transaction_or_sentence_context","JAX-1995-0005","philadelphia-eagles","1995-5th-round-pick-169th-overall-philadelphia-eagles-1995","0","pick","all","original text risks: word_glued_after_parenthetical","1995 6th round pick (208th overall, Fred McCrary), 1995 7th round pick (210th overall, Kevin Bouie) and 1995 7th round pick (248th overall, Howard Smothers)","1995 6th round pick (208th overall, Fred McCrary) || 1995 7th round pick (210th overall, Kevin Bouie) || 1995 7th round pick (248th overall, Howard Smothers)","","3","2","","word_glued_after_parenthetical"
"10","manual","CDEL_manual_original_has_transaction_or_sentence_context","CAR-1995-0004","green-bay-packers","panthers-green-bay-packers-trade-1995-0004","0","pick","all","original text risks: word_glued_after_parenthetical","1995 1st round pick (32nd overall, Craig Newsome), 1995 3rd round pick (65th overall, Darius Holland) and 1995 6th round pick (173rd overall, Charlie Simmons)","1995 1st round pick (32nd overall, Craig Newsome) || 1995 3rd round pick (65th overall, Darius Holland) || 1995 6th round pick (173rd overall, Charlie Simmons)","","3","2","","word_glued_after_parenthetical"
