"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","reportAssetTexts","exactDuplicateSinglePicks","duplicateBundleCandidates","warnings","errors"
"1","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","IND-1974-0170","new-orleans-saints","tom-drougas-new-orleans-saints-1974","bundle contains standalone pick text, but not a strict exact duplicate bundle","1975 fourth round pick (AP) / 1976 fourth round pick (?-?) || 1975 fourth round pick (AP)","","","",""
"2","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SF-1995-0288","san-francisco-49ers","1995-1st-round-pick-10th-overall-j-j-stokes-traded-1996-1st-round-p-cleveland-browns-1995","bundle contains standalone pick text, but not a strict exact duplicate bundle","1995 1st round pick (10th overall, J.J. Stokes)Traded 1996 1st round pick (26th overall, Ray Lewis) to for || 1995 1st round pick (10th overall, J.J. Stokes)","","","",""
"3","manual","BR_manual_no_strict_duplicate_action_detected","B3_duplicate_inside_multi_pick_bundle_needs_split","TB-1995-0155","tampa-bay-buccaneers","1995-1st-round-pick-12th-overall-philadelphia-eagles-1995","no exact duplicate standalone pick or exact duplicate bundle action detected","1995 1st round pick (12th overall || Warren Sapp) || Draft-pick compensation || 1995 1st round pick (12th overall, Warren Sapp), 1995 2nd round pick (43rd overall, Melvin Johnson) and 1995 2nd round pick (63rd overall subsequently traded, Shane Hannah)","","","",""
"4","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","PIT-1998-0316","atlanta-falcons","1998-5th-round-pick-137th-overall-jason-simmons-atlanta-falcons-1998","bundle contains standalone pick text, but not a strict exact duplicate bundle","1998 7th round pick (199th overall, Ephraim Salaam), 1998 7th round pick (203rd overall, Henry Slay) and 1998 7th round pick (215th overall subsequently traded, Ryan Thelwell) || 1998 7th round pick (199th overall, Ephraim Salaam) || 1998 7th round pick (203rd overall, Henry Slay) || 1998 7th round pick (215th overall subsequently traded, Ryan Thelwell)","","","",""
"5","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-1999-04-17-0103","seattle-seahawks","1999-1st-round-pick-20th-overall-subsequently-tra-new-england-patriots-1999","bundle contains standalone pick text, but not a strict exact duplicate bundle","1999 1st round pick (20th overall subsequently traded, Ebenezer Ekuban) || 1999 3rd round pick (82nd overall, Karsten Bailey) || 1999 6th round pick (191st overall subsequently traded, James Dearth) || 1999 1st round pick (20th overall subsequently traded, Ebenezer Ekuban), 1999 3rd round pick (82nd overall, Karsten Bailey) and 1999 6th round pick (191st overall subsequently traded, James Dearth)","","","",""
"6","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","ATL-2001-0227","los-angeles-chargers","2001-1st-round-pick-1st-overall-los-angeles-chargers-2001","bundle contains standalone pick text, but not a strict exact duplicate bundle","Tim Dwight, 2001 1st round pick (5th overall, LaDainian Tomlinson), 2001 3rd round pick (67th overall, Tay Cody) || 2002 2nd round pick (48th overall, Reche Caldwell) || Tim Dwight, 2001 1st round pick (5th overall, LaDainian Tomlinson), 2001 3rd round pick (67th overall, Tay Cody) and 2002 2nd round pick (48th overall, Reche Caldwell)","","","",""
"7","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","ATL-2004-0237","indianapolis-colts","2004-1st-round-pick-29th-overall-indianapolis-colts-2004","bundle contains standalone pick text, but not a strict exact duplicate bundle","2004 2nd round pick (38th overall subsequently traded, Ricardo Colclough) || 2004 3rd round pick (69th overall, Gilbert Gardner) || 2004 4th round pick (125th overall, Jason David) || 2004 2nd round pick (38th overall subsequently traded, Ricardo Colclough), 2004 3rd round pick (69th overall, Gilbert Gardner) and 2004 4th round pick (125th overall, Jason David)","","","",""
"8","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2005-04-23-0125","carolina-panthers","2005-2nd-round-pick-45th-overall-lofa-tatupu-carolina-panthers-2005","bundle contains standalone pick text, but not a strict exact duplicate bundle","2005 2nd round pick (54th overall, Eric Shelton) || 2005 4th round pick (121st overall, Stefan Lefors) || 2005 4th round pick (126th overall subsequently traded, Todd Herremans) || 2005 2nd round pick (54th overall, Eric Shelton), 2005 4th round pick (121st overall, Stefan Lefors) and 2005 4th round pick (126th overall subsequently traded, Todd Herremans)","","","",""
"9","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","ATL-2006-0243","green-bay-packers","2006-2nd-round-pick-37th-overall-green-bay-packers-2006","bundle contains standalone pick text, but not a strict exact duplicate bundle","2006 2nd round pick (47th overall, Daryn Colledge) || 2006 3rd round pick (93rd overall subsequently traded, Dominique Byrd) || 2006 5th round pick (148th overall, Ingle Martin) || 2006 2nd round pick (47th overall, Daryn Colledge), 2006 3rd round pick (93rd overall subsequently traded, Dominique Byrd) and 2006 5th round pick (148th overall, Ingle Martin)","","","",""
"10","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","JAX-2007-0034","atlanta-falcons","2007-5th-round-pick-149th-overall-atlanta-falcons-2007","bundle contains standalone pick text, but not a strict exact duplicate bundle","2007 6th round pick (195th overall subsequently traded, Deon Anderson), 2007 6th round pick (198th overall, Doug Datish), 2007 6th round pick (203rd overall, Daren Stone) || 2007 6th round pick (195th overall subsequently traded, Deon Anderson) || 2007 6th round pick (198th overall, Doug Datish) || 2007 6th round pick (203rd overall, Daren Stone)","","","",""
