lane,file,rootPath,slug,id,date,title,verdict,selectedPlayer,pickTeam,playerTeam,pickText,playerText,pickPath,playerPath
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-05-45-491Z.json,4553,2017-3rd-round-pick-107th-overall-new-york-jets-2017,TB-2017-0238,,,Tampa Bay Buccaneers Win,Kendell Beckwith,,tampa-bay-buccaneers,"Tampa Bay Buccaneers acquired 2017 3rd round pick (107th overall; Kendell Beckwith); 2017 3rd round pick (107th overall, Kendell Beckwith) from New York Jets for 2017 4th round pick (125th overall subsequently traded; Samson Ebukam); Draft-pick compensation details unavailable from source data; 2017 4th round pick (125th overall subsequently traded, Samson Ebukam) and 2017 6th round pick (204th overall, Derrick Jones). Tampa Bay Buccaneers received the stronger recorded football value, matching the Tampa Bay Buccaneers Win verdict.",Kendell Beckwith),,assetsReceived.tampa-bay-buccaneers.1
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-05-45-491Z.json,4560,2017-7th-round-pick-237th-overall-buccaneers-2017,MIA-2017-0273,,,Miami Dolphins Win,Isaiah Ford,,miami-dolphins,"Miami Dolphins acquired 2017 7th round pick (237th overall, Isaiah Ford) and 2018 7th round pick (223rd overall subsequently traded, Jullian Taylor); 2017 7th round pick (237th overall; Isaiah Ford); Draft-pick compensation details unavailable from source data from Tampa Bay Buccaneers for 2017 7th round pick (223rd overall, Stevie Tu'ikolovatu); 2017 7th round pick (223rd overall; Stevie Tu'ikolovatu). Miami Dolphins received the stronger recorded football value, matching the Miami Dolphins Win verdict.",Isaiah Ford),,assetsReceived.miami-dolphins.2
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-05-45-491Z.json,4627,jason-pierre-paul-new-york-giants-2018,TB-2018-0240,,,Tampa Bay Buccaneers Win,B.J. Hill,,new-york-giants,"Tampa Bay Buccaneers acquired Jason Pierre-Paul; 2018 4th round pick (102nd overall subsequently traded; Jason Pierre-Paul and 2018 4th round pick (102nd overall subsequently traded, Jalyn Holmes) from New York Giants for 2018 3rd round pick (69th overall; B.J. Hill); Draft-pick compensation details unavailable from source data; 2018 3rd round pick (69th overall, B.J. Hill) and 2018 4th round pick (108th overall, Kyle Lauletta). Tampa Bay Buccaneers received the stronger recorded football value, matching the Tampa Bay Buccaneers Win verdict.",B.J. Hill),,assetsReceived.new-york-giants.1
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-05-45-491Z.json,4646,2018-4th-round-pick-102nd-overall-jalyn-holmes-tampa-bay-buccaneers-2018,MIN-2018-0260,,,Tampa Bay Buccaneers Win,Jalyn Holmes,,minnesota-vikings,"Minnesota Vikings acquired 2018 4th round pick (102nd overall, Jalyn Holmes) and 2018 6th round pick (180th overall subsequently traded, Folorunso Fatukasi); 2018 4th round pick (102nd overall; Jalyn Holmes); Draft-pick compensation details unavailable from source data from Tampa Bay Buccaneers for 2018 3rd round pick (94th overall, Alex Cappa); 2018 3rd round pick (94th overall; Alex Cappa). The overall result favors Tampa Bay Buccaneers over Minnesota Vikings.",Jalyn Holmes),,assetsReceived.minnesota-vikings.2
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-05-45-491Z.json,4652,2018-2nd-round-pick-63rd-overall-new-england-patriots-2018,TB-2018-0242,,,Tampa Bay Buccaneers Win,Carlton Davis,,tampa-bay-buccaneers,"Tampa Bay Buccaneers acquired 2018 2nd round pick (63rd overall; Carlton Davis); Draft-pick compensation details unavailable from source data; 2018 2nd round pick (63rd overall, Carlton Davis) and 2018 4th round pick (117th overall, Jordan Whitehead) from New England Patriots for 2018 2nd round pick (56th overall; Duke Dawson); 2018 2nd round pick (56th overall, Duke Dawson). Tampa Bay Buccaneers received the stronger recorded football value, matching the Tampa Bay Buccaneers Win verdict.",Carlton Davis),,assetsReceived.tampa-bay-buccaneers.1
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-05-45-491Z.json,4825,2020-1st-round-pick-14th-overall-javon-kinlaw-tampa-bay-buccaneers-2020,SF-2020-0401,,,Tampa Bay Buccaneers Win,Javon Kinlaw,,san-francisco-49ers,"San Francisco 49ers acquired 2020 1st round pick (14th overall, Javon Kinlaw) and 2020 4th round pick (117th overall subsequently traded, D.J. Wonnum); 2020 1st round pick (14th overall; Javon Kinlaw); Draft-pick compensation details unavailable from source data from Tampa Bay Buccaneers for 2020 1st round pick (13th overall, Tristan Wirfs) and 2020 7th round pick (245th overall, Raymond Calais); 2020 1st round pick (13th overall; Tristan Wirfs); Draft-pick compensation details unavailable from source data. The overall result favors Tampa Bay Buccaneers over San Francisco 49ers.",Javon Kinlaw),,assetsReceived.san-francisco-49ers.2
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-05-45-491Z.json,5016,2023-4th-round-pick-121st-overall-tampa-bay-buccaneers-2022,JAX-2022-0091,,,Jacksonville Jaguars Win,Ventrell Miller,,jacksonville-jaguars,"Jacksonville Jaguars acquired 2023 4th round pick (121st overall, Ventrell Miller); 2023 4th round pick (121st overall; Ventrell Miller) from Tampa Bay Buccaneers for 2022 5th round pick (157th overall, Zyon McCollum), 2022 7th round pick (235th overall subsequently traded, Daniel Hardy); 2022 5th round pick (157th overall; Zyon McCollum); Draft-pick compensation details unavailable from source data. Jacksonville Jaguars received the stronger recorded football value, matching the Jacksonville Jaguars Win verdict.",Ventrell Miller),,assetsReceived.jacksonville-jaguars.2
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-05-45-491Z.json,5103,2023-2nd-round-pick-48th-overall-green-bay-packers-2023,TB-2023-0258,,,Green Bay Packers Win,Cody Mauch,,tampa-bay-buccaneers,"Tampa Bay Buccaneers acquired 2023 2nd round pick (48th overall; Cody Mauch); 2023 2nd round pick (48th overall, Cody Mauch) from Green Bay Packers for 2023 2nd round pick (50th overall; Jayden Reed); Draft-pick compensation details unavailable from source data; 2023 2nd round pick (50th overall, Jayden Reed) and 2023 6th round pick (179th overall, Karl Brooks). The overall result favors Green Bay Packers over Tampa Bay Buccaneers.",Cody Mauch),,assetsReceived.tampa-bay-buccaneers.1
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-05-45-491Z.json,5383,2026-3rd-round-pick-84th-overall-green-bay-packers-2026,TB-2026-0262,,,Tampa Bay Buccaneers Win,Ted Hurst,,tampa-bay-buccaneers,"Tampa Bay Buccaneers acquired 2026 3rd round pick (84th overall; Ted Hurst); Draft-pick compensation details unavailable from source data; 2026 3rd round pick (84th overall, Ted Hurst) and 2026 5th round pick (160th overall, Billy Schrauth) from Green Bay Packers for 2026 3rd round pick (77th overall; Chris McClellan); 2026 3rd round pick (77th overall, Chris McClellan). Tampa Bay Buccaneers received the stronger recorded football value, matching the Tampa Bay Buccaneers Win verdict.",Ted Hurst),,assetsReceived.tampa-bay-buccaneers.1
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-21-43-282Z.json,4553,2017-3rd-round-pick-107th-overall-new-york-jets-2017,TB-2017-0238,,,Tampa Bay Buccaneers Win,Kendell Beckwith,,tampa-bay-buccaneers,"Tampa Bay Buccaneers acquired 2017 3rd round pick (107th overall; Kendell Beckwith); 2017 3rd round pick (107th overall, Kendell Beckwith) from New York Jets for 2017 4th round pick (125th overall subsequently traded; Samson Ebukam); Draft-pick compensation details unavailable from source data; 2017 4th round pick (125th overall subsequently traded, Samson Ebukam) and 2017 6th round pick (204th overall, Derrick Jones). Tampa Bay Buccaneers received the stronger recorded football value, matching the Tampa Bay Buccaneers Win verdict.",Kendell Beckwith),,assetsReceived.tampa-bay-buccaneers.1
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-21-43-282Z.json,4560,2017-7th-round-pick-237th-overall-buccaneers-2017,MIA-2017-0273,,,Miami Dolphins Win,Isaiah Ford,,miami-dolphins,"Miami Dolphins acquired 2017 7th round pick (237th overall, Isaiah Ford) and 2018 7th round pick (223rd overall subsequently traded, Jullian Taylor); 2017 7th round pick (237th overall; Isaiah Ford); Draft-pick compensation details unavailable from source data from Tampa Bay Buccaneers for 2017 7th round pick (223rd overall, Stevie Tu'ikolovatu); 2017 7th round pick (223rd overall; Stevie Tu'ikolovatu). Miami Dolphins received the stronger recorded football value, matching the Miami Dolphins Win verdict.",Isaiah Ford),,assetsReceived.miami-dolphins.2
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-21-43-282Z.json,4627,jason-pierre-paul-new-york-giants-2018,TB-2018-0240,,,Tampa Bay Buccaneers Win,B.J. Hill,,new-york-giants,"Tampa Bay Buccaneers acquired Jason Pierre-Paul; 2018 4th round pick (102nd overall subsequently traded; Jason Pierre-Paul and 2018 4th round pick (102nd overall subsequently traded, Jalyn Holmes) from New York Giants for 2018 3rd round pick (69th overall; B.J. Hill); Draft-pick compensation details unavailable from source data; 2018 3rd round pick (69th overall, B.J. Hill) and 2018 4th round pick (108th overall, Kyle Lauletta). Tampa Bay Buccaneers received the stronger recorded football value, matching the Tampa Bay Buccaneers Win verdict.",B.J. Hill),,assetsReceived.new-york-giants.1
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-21-43-282Z.json,4646,2018-4th-round-pick-102nd-overall-jalyn-holmes-tampa-bay-buccaneers-2018,MIN-2018-0260,,,Tampa Bay Buccaneers Win,Jalyn Holmes,,minnesota-vikings,"Minnesota Vikings acquired 2018 4th round pick (102nd overall, Jalyn Holmes) and 2018 6th round pick (180th overall subsequently traded, Folorunso Fatukasi); 2018 4th round pick (102nd overall; Jalyn Holmes); Draft-pick compensation details unavailable from source data from Tampa Bay Buccaneers for 2018 3rd round pick (94th overall, Alex Cappa); 2018 3rd round pick (94th overall; Alex Cappa). The overall result favors Tampa Bay Buccaneers over Minnesota Vikings.",Jalyn Holmes),,assetsReceived.minnesota-vikings.2
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-21-43-282Z.json,4652,2018-2nd-round-pick-63rd-overall-new-england-patriots-2018,TB-2018-0242,,,Tampa Bay Buccaneers Win,Carlton Davis,,tampa-bay-buccaneers,"Tampa Bay Buccaneers acquired 2018 2nd round pick (63rd overall; Carlton Davis); Draft-pick compensation details unavailable from source data; 2018 2nd round pick (63rd overall, Carlton Davis) and 2018 4th round pick (117th overall, Jordan Whitehead) from New England Patriots for 2018 2nd round pick (56th overall; Duke Dawson); 2018 2nd round pick (56th overall, Duke Dawson). Tampa Bay Buccaneers received the stronger recorded football value, matching the Tampa Bay Buccaneers Win verdict.",Carlton Davis),,assetsReceived.tampa-bay-buccaneers.1
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-21-43-282Z.json,4825,2020-1st-round-pick-14th-overall-javon-kinlaw-tampa-bay-buccaneers-2020,SF-2020-0401,,,Tampa Bay Buccaneers Win,Javon Kinlaw,,san-francisco-49ers,"San Francisco 49ers acquired 2020 1st round pick (14th overall, Javon Kinlaw) and 2020 4th round pick (117th overall subsequently traded, D.J. Wonnum); 2020 1st round pick (14th overall; Javon Kinlaw); Draft-pick compensation details unavailable from source data from Tampa Bay Buccaneers for 2020 1st round pick (13th overall, Tristan Wirfs) and 2020 7th round pick (245th overall, Raymond Calais); 2020 1st round pick (13th overall; Tristan Wirfs); Draft-pick compensation details unavailable from source data. The overall result favors Tampa Bay Buccaneers over San Francisco 49ers.",Javon Kinlaw),,assetsReceived.san-francisco-49ers.2
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-21-43-282Z.json,5016,2023-4th-round-pick-121st-overall-tampa-bay-buccaneers-2022,JAX-2022-0091,,,Jacksonville Jaguars Win,Ventrell Miller,,jacksonville-jaguars,"Jacksonville Jaguars acquired 2023 4th round pick (121st overall, Ventrell Miller); 2023 4th round pick (121st overall; Ventrell Miller) from Tampa Bay Buccaneers for 2022 5th round pick (157th overall, Zyon McCollum), 2022 7th round pick (235th overall subsequently traded, Daniel Hardy); 2022 5th round pick (157th overall; Zyon McCollum); Draft-pick compensation details unavailable from source data. Jacksonville Jaguars received the stronger recorded football value, matching the Jacksonville Jaguars Win verdict.",Ventrell Miller),,assetsReceived.jacksonville-jaguars.2
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-21-43-282Z.json,5103,2023-2nd-round-pick-48th-overall-green-bay-packers-2023,TB-2023-0258,,,Green Bay Packers Win,Cody Mauch,,tampa-bay-buccaneers,"Tampa Bay Buccaneers acquired 2023 2nd round pick (48th overall; Cody Mauch); 2023 2nd round pick (48th overall, Cody Mauch) from Green Bay Packers for 2023 2nd round pick (50th overall; Jayden Reed); Draft-pick compensation details unavailable from source data; 2023 2nd round pick (50th overall, Jayden Reed) and 2023 6th round pick (179th overall, Karl Brooks). The overall result favors Green Bay Packers over Tampa Bay Buccaneers.",Cody Mauch),,assetsReceived.tampa-bay-buccaneers.1
D_GENERIC_DRAFT_PICK_COMPENSATION,src/data/nfl/trades.backup-before-batch-010-remaining-copy-v2-2026-07-05T06-21-43-282Z.json,5383,2026-3rd-round-pick-84th-overall-green-bay-packers-2026,TB-2026-0262,,,Tampa Bay Buccaneers Win,Ted Hurst,,tampa-bay-buccaneers,"Tampa Bay Buccaneers acquired 2026 3rd round pick (84th overall; Ted Hurst); Draft-pick compensation details unavailable from source data; 2026 3rd round pick (84th overall, Ted Hurst) and 2026 5th round pick (160th overall, Billy Schrauth) from Green Bay Packers for 2026 3rd round pick (77th overall; Chris McClellan); 2026 3rd round pick (77th overall, Chris McClellan). Tampa Bay Buccaneers received the stronger recorded football value, matching the Tampa Bay Buccaneers Win verdict.",Ted Hurst),,assetsReceived.tampa-bay-buccaneers.1
